rank,bitstring,energy,selected_indices,selected_tickers
198,10111110000,-0.5799129712737132,"(0, 2, 3, 4, 5, 6)","SGOV, SHY, QQQ, VUG, MTUM, SPY"
199,01100100111,-0.5718937489770939,"(1, 2, 5, 8, 9, 10)","BIL, SHY, MTUM, EEM, VGK, USMV"
200,01100001111,-0.5708174251228466,"(1, 2, 7, 8, 9, 10)","BIL, SHY, EWC, EEM, VGK, USMV"
201,10111010100,-0.5696723514560205,"(0, 2, 3, 4, 6, 8)","SGOV, SHY, QQQ, VUG, SPY, EEM"
202,01100011101,-0.5583160147736361,"(1, 2, 6, 7, 8, 10)","BIL, SHY, SPY, EWC, EEM, USMV"
203,01100110101,-0.5576534784493363,"(1, 2, 5, 6, 8, 10)","BIL, SHY, MTUM, SPY, EEM, USMV"
204,01101001011,-0.5088932285152441,"(1, 2, 4, 7, 9, 10)","BIL, SHY, VUG, EWC, VGK, USMV"
205,01101100011,-0.5026083533457766,"(1, 2, 4, 5, 9, 10)","BIL, SHY, VUG, MTUM, VGK, USMV"
206,01101011001,-0.4912465122498131,"(1, 2, 4, 6, 7, 10)","BIL, SHY, VUG, SPY, EWC, USMV"
207,01101110001,-0.4832227769017985,"(1, 2, 4, 5, 6, 10)","BIL, SHY, VUG, MTUM, SPY, USMV"
208,01101000111,-0.4775575359616018,"(1, 2, 4, 8, 9, 10)","BIL, SHY, VUG, EEM, VGK, USMV"
209,10111101000,-0.4674518615865142,"(0, 2, 3, 4, 5, 7)","SGOV, SHY, QQQ, VUG, MTUM, EWC"
210,01101010101,-0.4597519918213675,"(1, 2, 4, 6, 8, 10)","BIL, SHY, VUG, SPY, EEM, USMV"
211,10111001100,-0.45847494010364853,"(0, 2, 3, 4, 7, 8)","SGOV, SHY, QQQ, VUG, EWC, EEM"
212,01100101101,-0.4543282007817875,"(1, 2, 5, 7, 8, 10)","BIL, SHY, MTUM, EWC, EEM, USMV"
213,10111100100,-0.4369342465376196,"(0, 2, 3, 4, 5, 8)","SGOV, SHY, QQQ, VUG, MTUM, EEM"
214,01100111010,-0.43632253475904115,"(1, 2, 5, 6, 7, 9)","BIL, SHY, MTUM, SPY, EWC, VGK"
215,01100011110,-0.40841252326130606,"(1, 2, 6, 7, 8, 9)","BIL, SHY, SPY, EWC, EEM, VGK"
216,01100110110,-0.40409730540197053,"(1, 2, 5, 6, 8, 9)","BIL, SHY, MTUM, SPY, EEM, VGK"
217,01101101001,-0.3762105920156631,"(1, 2, 4, 5, 7, 10)","BIL, SHY, VUG, MTUM, EWC, USMV"
218,01110010011,-0.36259800016959653,"(1, 2, 3, 6, 9, 10)","BIL, SHY, QQQ, SPY, VGK, USMV"
